"hh_key","monthnumb","pricepromo","retailpromo","catalogpromo","item","gender","married","income","id"
1151769,1,0,2,8,0,"F",0,112500,51
1152166,1,0,0,9,1,"M",1,137500,52
1152366,1,0,0,4.38461542129517,0,"F",1,87500,53
1153528,1,0,1,7,0,"M",1,62500,54
1153766,1,1,1,8,1,"F",1,162500,55
1155123,1,0,0,1.92708337306976,0,"F",1,112500,56
1156205,1,0,1,10,0,"F",0,112500,57
1156827,1,0,1,9,1,"F",0,7500,58
1157198,1,0,0,4,0,"F",1,20000,59
1165832,1,1,1,8,1,"F",0,62500,60
1166157,1,3,1,16,3,"F",0,137500,61
1167911,1,0,1,9,2,"F",1,87500,62
1168134,1,0,1,9,1,"F",0,162500,63
1168271,1,1,1,7,2,"F",1,112500,64
1171923,1,1,0,4,2,"F",0,62500,65
1172112,1,1,0,3,1,"F",0,20000,66
1174038,1,0,0,3.2710280418396,0,"M",1,112500,67
1174562,1,0,0,5,0,"F",1,62500,68
1174985,1,1,1,7,2,"F",1,62500,69
1176048,1,0,1,9,1,"F",1,62500,70
1179432,1,0,0,7,0,"F",1,87500,71
1179878,1,0,1,3,0,"M",1,62500,72
1180407,1,0,1,6,1,"F",0,62500,73
1180590,1,1,1,7,1,"F",0,112500,74
1180640,1,0,1,3,0,"F",1,62500,75
1181283,1,0,0,3,0,"F",1,62500,76
1181372,1,0,0,1.50793647766113,0,"M",1,62500,77
1181576,1,0,0,5,0,"F",1,87500,78
1182877,1,0,0,5,0,"M",1,62500,79
1184139,1,0,1,9,0,"F",1,20000,80
1184169,1,0,1,9,0,"F",1,112500,81
1184297,1,0,1,8,1,"M",1,112500,82
1184913,1,0,1,4,0,"F",1,87500,83
1185813,1,0,0,3.01980209350586,0,"M",1,87500,84
1185876,1,0,0,1.11764705181122,0,"F",1,137500,85
1186126,1,0,1,7,0,"F",1,62500,86
1187131,1,0,0,1.97826087474823,0,"M",0,42500,87
1187232,1,0,1,8,0,"F",0,62500,88
1187420,1,0,1,10,1,"F",1,87500,89
1187873,1,0,0,10,1,"M",1,112500,90
1187978,1,0,1,7,0,"F",1,62500,91
1188069,1,0,0,3,1,"F",1,162500,92
1188761,1,0,0,3,0,"F",1,162500,93
1188833,1,0,0,3,0,"F",1,62500,94
1189258,1,0,0,5,0,"F",1,225000,95
1189412,1,0,0,2.08641982078552,0,"F",1,20000,96
1189715,1,0,0,3,1,"M",1,162500,97
1189764,1,0,0,1,0,"F",1,137500,98
1190134,1,0,1,8,1,"F",0,20000,99
1190711,1,1,1,8,2,"F",1,162500,100
1191253,1,0,1,9,2,"F",0,62500,101
1191595,1,1,0,5,1,"F",1,62500,102
1191968,1,0,0,2,0,"F",1,112500,103
1192704,1,1,1,9,1,"F",1,62500,104
1192874,1,0,1,7,0,"F",1,62500,105
1193114,1,0,1,7,0,"F",1,162500,106
1193232,1,0,0,3.31428575515747,0,"M",1,112500,107
1193743,1,0,1,7,0,"F",1,20000,108
1193751,1,0,0,3,0,"F",0,42500,109
1193787,1,2,0,4,3,"F",1,62500,110
1194121,1,0,1,7,0,"F",0,42500,111
1194319,1,0,1,8,0,"F",0,62500,112
1194477,1,3,1,13,4,"F",1,112500,113
1195243,1,0,1,8,0,"F",1,62500,114
1195315,1,1,0,7,2,"M",1,112500,115
1195629,1,0,1,8,0,"M",1,62500,116
1196370,1,1,1,10,2,"F",0,137500,117
1196373,1,1,0,4,1,"F",1,87500,118
1196532,1,0,1,10,0,"F",1,112500,119
1196672,1,0,1,5,0,"F",0,62500,120
1196715,1,0,1,7,0,"F",1,62500,121
1196867,1,0,1,7,0,"F",1,62500,122
1197628,1,0,0,3,0,"M",0,137500,123
1198131,1,0,0,3,0,"F",0,42500,124
1198229,1,0,1,9,1,"F",1,62500,125
1198340,1,0,0,2.20731711387634,0,"F",1,112500,126
1198656,1,0,0,1,0,"F",0,42500,127
1198936,1,1,1,9,2,"M",0,162500,128
1199872,1,0,1,8,0,"F",0,87500,129
1202556,1,1,1,5,1,"F",1,62500,130
1204291,1,0,0,2.2826087474823,0,"F",0,20000,131
1204517,1,2,1,9,2,"F",1,62500,132
1204703,1,0,0,5,0,"F",0,87500,133
1205899,1,0,0,4,0,"F",1,162500,134
1207119,1,0,0,5,0,"F",1,62500,135
1208107,1,0,0,1,0,"F",1,112500,136
1208888,1,0,0,1.53030300140381,0,"F",0,20000,137
1209486,1,0,1,8,1,"F",1,62500,138
1209955,1,0,0,3.53773593902588,0,"M",1,225000,139
1210800,1,0,1,7,0,"F",1,250000,140
1211027,1,0,1,5,0,"F",1,112500,141
1211068,1,0,0,5,0,"F",0,250000,142
1211288,1,0,1,5,0,"F",0,7500,143
1211807,1,0,0,2.4343433380127,0,"F",1,42500,144
1212464,1,2,1,7,2,"F",0,42500,145
1213078,1,0,1,8,0,"F",1,250000,146
1213693,1,0,1,8,0,"F",1,162500,147
1216811,1,0,0,6,0,"F",1,162500,148
1217376,1,1,1,11,3,"F",1,137500,149
1217401,1,0,1,6,0,"F",0,62500,150
1221162,1,1,0,3,1,"F",1,62500,151
1222034,1,0,1,8,1,"M",1,87500,152
1222561,1,0,0,2,0,"F",1,62500,153
1224353,1,0,1,8,0,"F",1,87500,154
1224379,1,0,0,4,0,"F",1,162500,155
1225029,1,0,0,3,0,"F",1,62500,156
1225288,1,1,0,6,1,"F",1,112500,157
1225581,1,0,0,1,0,"F",1,30000,158
1226932,1,0,0,6,0,"F",1,87500,159
1226943,1,0,0,6,0,"F",1,162500,160
1227191,1,0,1,6,0,"F",1,112500,161
1227743,1,0,0,9,0,"F",0,62500,162
1228628,1,0,0,2,0,"F",1,62500,163
1228793,1,1,1,8,3,"F",0,87500,164
1229147,1,0,1,6,0,"F",1,87500,165
1229564,1,0,1,9,0,"F",1,62500,166
1229612,1,0,1,9,1,"M",1,187500,167
1229771,1,1,2,14,3,"F",1,87500,168
1229884,1,0,0,2,0,"F",1,112500,169
1230105,1,1,1,8,1,"F",1,137500,170
1230445,1,0,0,5,0,"F",1,62500,171
1230648,1,0,1,5,0,"F",1,87500,172
1230860,1,0,0,5,0,"F",1,62500,173
1231637,1,1,0,2,1,"F",1,112500,174
1233436,1,0,1,9,1,"F",0,162500,175
1233553,1,0,1,9,0,"F",1,112500,176
1234916,1,1,1,10,2,"M",1,62500,177
1237257,1,0,1,7,0,"F",1,62500,178
1237667,1,0,1,8,0,"F",1,87500,179
1238108,1,0,0,6,0,"F",1,42500,180
1238707,1,0,0,5,0,"F",1,62500,181
1238904,1,0,1,8,0,"M",1,87500,182
1239286,1,0,0,2,0,"F",1,250000,183
1239623,1,0,1,5,0,"F",0,42500,184
1239849,1,0,0,1,0,"F",1,112500,185
1239936,1,0,0,1.44736838340759,0,"F",0,7500,186
1240102,1,0,0,4,0,"F",0,62500,187
1241439,1,0,0,4,1,"F",1,112500,188
1241595,1,1,0,5,1,"F",1,62500,189
1241711,1,0,1,9,1,"F",1,87500,190
1242022,1,0,0,1,1,"F",1,62500,191
1242223,1,0,0,5,0,"M",1,137500,192
1242542,1,0,0,5,0,"M",1,137500,193
1243937,1,1,1,8,1,"F",1,87500,194
1244277,1,1,1,10,2,"F",0,112500,195
1245286,1,0,0,4,0,"F",1,62500,196
1246704,1,1,1,9,2,"F",1,87500,197
1247392,1,0,0,2,0,"F",1,87500,198
1248826,1,0,1,6,3,"F",1,87500,199
1249794,1,0,0,4,0,"F",0,137500,200
1250074,1,0,1,8,1,"F",0,87500,201
1250242,1,0,0,3,1,"F",0,250000,202
1250577,1,0,1,7,0,"F",1,62500,203
1250585,1,1,0,5,1,"F",1,187500,204
1250879,1,0,0,4,0,"F",1,137500,205
1250899,1,0,0,6,0,"M",1,112500,206
1251138,1,0,0,5,1,"M",1,137500,207
1251550,1,0,1,6,0,"F",1,62500,208
1251623,1,0,0,5,0,"F",1,7500,209
1251804,1,0,0,1,2,"F",0,137500,210
1251816,1,0,1,5,0,"F",1,137500,211
1252257,1,0,1,3,0,"F",0,87500,212
1252297,1,0,0,5,0,"M",1,62500,213
1252403,1,0,1,9,0,"M",1,62500,214
1252534,1,0,1,8,0,"F",1,187500,215
1252759,1,0,1,9,0,"F",1,137500,216
1252878,1,2,0,6,2,"F",1,137500,217
1254168,1,1,1,10,1,"F",1,62500,218
1254684,1,0,1,9,0,"M",1,112500,219
1258925,1,0,0,5,0,"F",1,42500,220
1259640,1,0,0,5,0,"M",1,87500,221
1259672,1,2,1,8,2,"F",1,62500,222
1259740,1,0,1,6,0,"F",1,30000,223
1262332,1,0,1,7,0,"F",1,87500,224
1262373,1,0,0,5,0,"F",1,250000,225
1262926,1,0,1,5,0,"F",1,62500,226
1263058,1,1,0,7,1,"F",0,137500,227
1263919,1,0,0,4,0,"M",0,30000,228
1264065,1,0,1,6,0,"F",1,187500,229
1264317,1,0,1,7,1,"F",1,187500,230
1264505,1,0,0,2,0,"F",1,87500,231
1264703,1,0,1,7,0,"F",0,30000,232
1265443,1,0,1,7,0,"F",0,20000,233
1265755,1,0,1,5,0,"F",1,112500,234
1265835,1,0,1,6,0,"F",1,112500,235
1265892,1,0,0,5,0,"F",0,187500,236
1266201,1,0,0,2.40229892730713,0,"F",1,187500,237
1268413,1,1,0,5,1,"F",1,62500,238
1269756,1,0,1,8,1,"F",1,62500,239
1269824,1,0,0,4,0,"M",0,30000,240
1273931,1,0,1,7,0,"F",1,20000,241
1275308,1,0,1,8,1,"M",1,87500,242
1275698,1,0,0,5,0,"F",1,87500,243
1275888,1,0,0,2,1,"F",1,137500,244
1276784,1,0,0,2,0,"F",0,20000,245
1277335,1,0,0,5,0,"F",1,42500,246
1279299,1,0,0,3,0,"M",1,87500,247
1279847,1,2,0,4,2,"F",1,42500,248
1280469,1,0,1,6,2,"F",0,7500,249
1281674,1,0,1,4,0,"F",0,137500,250
1285561,1,1,1,6,1,"F",1,250000,251
1286058,1,0,1,5,0,"F",1,250000,252
1286676,1,0,1,8,0,"M",1,225000,253
1287337,1,0,0,5,0,"F",0,62500,254
1288054,1,1,1,8,1,"F",1,42500,255
1288246,1,0,0,4,0,"F",0,62500,256
1288502,1,0,1,8,1,"M",0,137500,257
1288666,1,0,1,5,0,"F",1,62500,258
1288675,1,2,1,7,2,"F",1,20000,259
1288774,1,2,1,10,3,"F",1,187500,260
1288902,1,0,1,8,2,"F",1,87500,261
1289229,1,0,0,4,0,"F",0,112500,262
1290077,1,0,0,3,0,"F",1,87500,263
1290515,1,0,0,3,0,"F",0,87500,264
1290723,1,0,1,8,0,"F",0,30000,265
1291318,1,0,0,2,0,"F",1,42500,266
1291608,1,0,1,4,1,"F",0,30000,267
1292847,1,0,2,16,2,"F",1,42500,268
1293296,1,1,1,6,1,"F",1,30000,269
1293595,1,0,1,7,0,"F",1,62500,270
1293939,1,0,1,9,0,"F",1,250000,271
1294157,1,0,2,6,0,"F",1,62500,272
1294200,1,0,1,6,0,"F",1,62500,273
1294399,1,0,0,6,0,"F",0,30000,274
1294837,1,0,2,10,1,"F",0,62500,275
1297008,1,0,0,2,0,"F",0,7500,276
1297323,1,1,0,5,1,"F",0,7500,277
1297452,1,0,1,7,0,"M",1,87500,278
1297615,1,0,0,4,0,"F",0,20000,279
1297678,1,0,0,4,1,"M",1,62500,280
1298036,1,0,0,3,0,"F",0,7500,281
1298136,1,0,1,8,0,"M",0,30000,282
1298614,1,1,1,8,1,"F",1,62500,283
1300363,1,0,1,5,0,"M",1,42500,284
1300457,1,0,0,1,0,"M",1,42500,285
1301237,1,0,0,2,0,"F",1,20000,286
1301332,1,0,1,9,0,"M",1,42500,287
1301620,1,1,0,3,1,"F",1,87500,288
1302173,1,1,1,7,1,"F",1,225000,289
1302216,1,0,0,3.58878493309021,0,"F",1,62500,290
1302375,1,0,1,8,0,"F",1,87500,291
1303092,1,0,1,6,0,"F",1,62500,292
1303908,1,0,0,7,1,"M",1,87500,293
1304518,1,0,1,8,1,"F",1,87500,294
1304751,1,0,1,3,0,"F",0,30000,295
1306505,1,0,0,6,1,"F",0,62500,296
1307675,1,0,1,8,0,"F",1,62500,297
1307821,1,0,1,6,0,"M",1,42500,298
1310138,1,1,0,5,1,"F",1,62500,299
1310269,1,0,1,6,0,"F",0,112500,300
1311143,1,1,0,5,1,"M",0,62500,301
1311172,1,0,0,3,0,"M",1,137500,302
1311388,1,1,1,11,2,"M",0,20000,303
1312227,1,1,0,7,2,"F",0,62500,304
1313291,1,0,0,1,0,"F",1,162500,305
1313396,1,1,1,9,3,"F",0,30000,306
1313735,1,0,0,5,0,"F",1,20000,307
1313856,1,0,1,7,1,"F",0,20000,308
1314520,1,0,1,7,0,"F",1,62500,309
1314682,1,0,0,1,0,"F",0,20000,310
1314969,1,0,1,6,0,"F",0,87500,311
1315946,1,0,1,6,0,"F",0,62500,312
1317054,1,1,0,5,1,"F",0,7500,313
1317356,1,0,0,3,0,"F",1,62500,314
1318696,1,0,0,8,0,"F",0,62500,315
1318996,1,0,0,5,0,"F",1,62500,316
1319548,1,0,0,6,0,"F",0,20000,317
1319613,1,0,1,8,1,"F",0,137500,318
1319738,1,0,0,3,0,"F",1,137500,319
1320734,1,0,1,8,0,"F",1,20000,320
1320750,1,1,0,5,1,"F",0,7500,321
1322205,1,0,0,5,1,"F",1,62500,322
1322235,1,0,1,5,0,"F",0,62500,323
1322521,1,0,1,8,1,"M",1,42500,324
1322942,1,0,1,9,0,"F",1,87500,325
1323304,1,1,2,10,2,"F",1,162500,326
1323359,1,0,1,9,1,"M",0,187500,327
1323491,1,0,0,2,0,"F",1,250000,328
1323698,1,0,0,10,1,"M",0,250000,329
1323962,1,0,0,7,0,"M",1,62500,330
1324251,1,0,0,4,0,"F",0,20000,331
1324843,1,0,0,5,0,"F",1,87500,332
1325556,1,0,0,1,0,"F",0,20000,333
1327146,1,0,1,9,2,"F",1,162500,334
1328158,1,0,1,7,0,"F",1,62500,335
1328623,1,0,1,8,1,"M",1,30000,336
1328832,1,0,0,4,0,"F",1,187500,337
1329574,1,1,1,7,1,"F",0,42500,338
1330046,1,0,0,4.47663545608521,0,"F",1,112500,339
1330272,1,0,1,7,0,"F",1,137500,340
1330497,1,0,1,6,0,"F",1,162500,341
1331244,1,0,1,5,1,"F",0,30000,342
1331261,1,0,0,2,0,"F",0,7500,343
1331950,1,0,1,8,2,"F",1,62500,344
1333858,1,0,1,7,0,"F",1,112500,345
1335680,1,0,0,2.70103096961975,0,"F",1,62500,346
1335920,1,1,1,7,1,"F",1,42500,347
1335980,1,0,1,7,0,"F",0,20000,348
1336426,1,0,0,5,0,"F",0,20000,349
1336946,1,0,0,4,0,"M",1,20000,350
1338200,1,0,0,8,0,"F",1,162500,351
1338378,1,1,0,4,1,"F",1,225000,352
1339574,1,1,1,6,2,"F",1,42500,353
1339822,1,0,0,5,0,"F",1,112500,354
1340176,1,0,0,6,1,"M",1,42500,355
1340267,1,0,1,5,0,"F",0,42500,356
1341891,1,2,0,7,2,"F",0,62500,357
1342799,1,0,0,3,0,"F",0,62500,358
1343216,1,0,0,3,0,"F",0,187500,359
1344265,1,0,0,4,0,"F",0,87500,360
1344499,1,0,1,5,0,"F",1,87500,361
1344614,1,0,1,9,0,"M",1,225000,362
1345984,1,1,1,8,1,"F",1,112500,363
1346234,1,0,0,3,0,"F",0,162500,364
1347945,1,0,1,7,1,"F",0,112500,365
1348467,1,0,0,6,0,"F",0,87500,366
1348663,1,0,1,6,0,"F",1,62500,367
1348726,1,0,0,4,0,"F",1,62500,368
1349285,1,1,1,9,1,"F",0,42500,369
1349428,1,0,0,4,0,"F",1,87500,370
1349951,1,0,1,7,0,"F",1,20000,371
1350291,1,0,1,7,0,"M",1,87500,372
1350434,1,0,0,4,0,"F",1,162500,373
1351173,1,0,0,1,0,"F",0,87500,374
1351468,1,0,1,7,0,"F",1,7500,375
1351509,1,0,0,1,0,"F",1,62500,376
1351586,1,0,1,6,1,"F",1,162500,377
1351796,1,0,1,7,0,"F",1,7500,378
1352046,1,0,0,6,0,"F",1,87500,379
1352301,1,0,0,3.19811320304871,0,"F",1,42500,380
1352756,1,0,1,10,1,"F",1,62500,381
1352986,1,0,1,9,0,"F",1,42500,382
1353809,1,0,1,12,0,"F",1,112500,383
1353961,1,1,1,7,1,"F",0,20000,384
1354452,1,1,1,7,1,"F",1,62500,385
1354598,1,0,1,6,0,"F",0,42500,386
1354602,1,0,1,10,1,"M",1,62500,387
1354673,1,0,1,10,1,"F",0,7500,388
1355604,1,0,0,4,0,"M",1,7500,389
1356206,1,0,0,5,0,"F",1,62500,390
1358021,1,0,0,5,0,"F",1,112500,391
1358933,1,2,1,6,3,"F",0,112500,392
1361465,1,0,1,4,1,"F",0,137500,393
1362107,1,0,0,1,0,"M",1,162500,394
1363023,1,0,1,7,0,"F",1,30000,395
1363370,1,0,0,7,1,"M",1,62500,396
1364059,1,0,5,13,3,"M",1,112500,397
1366217,1,0,0,6,0,"M",0,112500,398
1366244,1,0,0,1,0,"F",0,112500,399
1367411,1,0,1,9,0,"F",1,20000,400
1367420,1,0,2,17,1,"F",1,162500,401
1368140,1,0,1,9,0,"F",1,62500,402
1368385,1,0,0,7,0,"M",1,162500,403
1369918,1,0,1,7,0,"F",1,87500,404
1372221,1,0,0,2,0,"F",1,7500,405
1372333,1,0,0,6,0,"F",1,62500,406
1374105,1,0,1,7,0,"F",0,7500,407
1374132,1,0,0,5,0,"M",1,62500,408
1374680,1,0,0,4,0,"F",1,62500,409
1375113,1,0,0,7,0,"F",1,87500,410
1376245,1,0,0,1.61538457870483,0,"F",0,62500,411
1377492,1,0,2,11,0,"F",1,137500,412
1377719,1,0,0,4.71962594985962,0,"F",1,137500,413
1378071,1,1,0,7,1,"F",0,62500,414
1378409,1,0,1,10,0,"F",1,62500,415
1380721,1,0,0,3.36190485954285,0,"F",1,42500,416
1381136,1,0,0,7,1,"F",1,62500,417
1381384,1,1,1,9,2,"F",1,162500,418
1381552,1,0,0,8,1,"M",1,87500,419
1381639,1,0,1,7,0,"F",1,225000,420
1381711,1,0,1,7,0,"F",1,87500,421
1382137,1,0,0,4,0,"F",1,112500,422
1382624,1,0,1,7,0,"F",1,62500,423
1382975,1,1,2,10,2,"F",1,112500,424
1384230,1,0,0,6,0,"F",1,137500,425
1384341,1,2,1,7,3,"F",0,137500,426
1385468,1,0,0,4.14285707473755,0,"F",1,250000,427
1385831,1,0,1,6,0,"F",1,42500,428
1386066,1,0,0,1,0,"F",1,112500,429
1386120,1,0,1,7,0,"F",1,42500,430
1387428,1,0,1,8,0,"F",0,62500,431
1387588,1,2,0,4,2,"F",1,42500,432
1388210,1,1,0,6,1,"M",1,62500,433
1388355,1,0,0,3,0,"F",1,62500,434
1388513,1,0,0,7,1,"F",1,162500,435
1388833,1,0,1,9,1,"F",0,42500,436
1389030,1,0,1,8,0,"F",1,62500,437
1389384,1,1,1,9,1,"F",0,42500,438
1389406,1,0,1,6,0,"F",1,87500,439
1389477,1,1,1,10,1,"F",1,62500,440
1390351,1,0,1,9,2,"M",1,162500,441
1392387,1,0,1,6,0,"F",0,87500,442
1393255,1,0,0,5,1,"F",1,87500,443
1393466,1,0,0,4,0,"M",1,87500,444
1393929,1,1,0,9,1,"F",1,225000,445
1394027,1,0,0,5,0,"F",1,162500,446
1395064,1,2,1,11,2,"F",1,162500,447
1395309,1,0,0,4,0,"F",0,42500,448
1395394,1,1,1,11,2,"F",0,7500,449
1396474,1,0,0,1,0,"F",1,62500,450
1396597,1,0,0,6,1,"F",1,87500,451
1396618,1,0,0,3,0,"F",1,87500,452
1396830,1,0,1,6,0,"F",1,87500,453
1397814,1,0,0,6,0,"M",1,137500,454
1398493,1,0,0,3,0,"F",1,87500,455
1398606,1,1,0,4,1,"M",1,20000,456
1399233,1,0,0,5,0,"F",0,42500,457
1399269,1,0,1,8,0,"F",1,62500,458
1399329,1,1,1,11,3,"F",1,112500,459
1401246,1,0,0,3,0,"F",1,42500,460
1401458,1,0,1,6,0,"F",1,62500,461
1403021,1,0,0,4,0,"F",1,112500,462
1403631,1,0,1,7,0,"F",1,62500,463
1403972,1,1,2,8,5,"F",1,162500,464
1404355,1,0,1,6,0,"F",1,87500,465
1404418,1,0,0,5,0,"F",1,42500,466
1404842,1,0,0,1,0,"M",1,112500,467
1405544,1,0,1,10,1,"F",0,20000,468
1406907,1,0,0,6,2,"F",1,87500,469
1408575,1,0,0,7,1,"M",0,30000,470
1410385,1,0,1,9,1,"F",1,162500,471
1411418,1,0,0,7,0,"M",1,87500,472
1412397,1,0,1,7,0,"M",1,42500,473
1412511,1,0,0,1,0,"F",1,42500,474
1412646,1,0,1,13,0,"F",1,162500,475
1413182,1,1,1,7,1,"F",1,112500,476
1413837,1,0,0,5,0,"F",1,225000,477
1413925,1,0,0,7,2,"F",0,62500,478
1414361,1,0,0,3,0,"F",1,112500,479
1414857,1,0,0,5,0,"M",1,162500,480
1414873,1,0,1,6,0,"F",1,112500,481
1415098,1,1,1,10,1,"F",0,87500,482
1415320,1,0,1,8,0,"F",1,162500,483
1416429,1,1,1,11,1,"F",1,87500,484
1416731,1,0,0,3,0,"F",1,162500,485
1416940,1,0,1,9,1,"F",0,137500,486
1417159,1,0,0,2,0,"M",0,20000,487
1417523,1,0,0,2.75,0,"F",1,187500,488
1418358,1,1,1,8,1,"F",0,112500,489
1418818,1,1,1,7,3,"F",1,87500,490
1419071,1,0,0,6,0,"M",1,87500,491
1419406,1,2,1,9,2,"F",1,62500,492
1419467,1,0,0,4,0,"F",1,162500,493
1419627,1,1,1,9,1,"M",1,87500,494
1419833,1,0,1,7,0,"F",1,225000,495
1420095,1,0,0,3,0,"M",1,187500,496
1420139,1,0,1,10,1,"F",1,112500,497
1420150,1,1,1,8,1,"F",0,7500,498
1420458,1,0,2,10,1,"M",1,20000,499
1420461,1,0,1,8,0,"F",1,62500,500
1420462,1,1,1,7,1,"F",1,162500,501
1420478,1,0,0,1,0,"F",1,42500,502
1420505,1,0,0,5,0,"F",0,7500,503
1420957,1,0,0,3.94339632987976,0,"F",1,225000,504
1420990,1,1,1,9,1,"F",0,87500,505
1421112,1,0,0,4,0,"F",0,87500,506
1421265,1,0,0,9,0,"F",0,137500,507
1421359,1,0,0,1,1,"F",0,7500,508
1422155,1,0,1,8,1,"F",1,187500,509
1422249,1,0,0,2,0,"M",0,62500,510
1424297,1,0,0,2.05154633522034,0,"M",1,20000,511
1424626,1,1,1,13,2,"F",0,112500,512
1425960,1,0,1,5,0,"F",0,20000,513
1426165,1,0,1,7,0,"F",0,112500,514
1426230,1,0,0,4,0,"F",0,7500,515
1426266,1,0,1,8,0,"F",1,112500,516
1426799,1,0,0,3,0,"F",1,87500,517
1427258,1,0,1,6,0,"F",0,62500,518
1427579,1,0,1,3,0,"F",1,87500,519
1427915,1,0,0,5,0,"F",0,62500,520
1428277,1,0,1,9,1,"M",1,112500,521
1429936,1,1,1,11,2,"F",1,187500,522
1430214,1,0,1,9,0,"M",0,112500,523
1430754,1,0,0,6,0,"M",1,187500,524
1431104,1,1,0,6,1,"F",0,250000,525
1431118,1,0,0,4,0,"F",1,62500,526
1431340,1,0,0,7,1,"F",0,87500,527
1431513,1,0,1,11,1,"F",1,62500,528
1431697,1,0,0,3,1,"F",1,87500,529
1431949,1,0,1,8,0,"F",1,42500,530
1432387,1,0,1,8,2,"F",0,162500,531
1432724,1,0,1,9,0,"F",1,20000,532
1432840,1,0,1,6,0,"F",1,20000,533
1432998,1,0,0,2,0,"F",1,62500,534
1433194,1,0,0,5,0,"F",1,42500,535
1433587,1,0,1,7,1,"M",1,87500,536
1434275,1,1,2,11,1,"F",1,20000,537
1434712,1,0,0,1,0,"F",1,42500,538
1435022,1,0,0,2,1,"F",1,187500,539
1435557,1,0,0,2.47000002861023,0,"M",1,62500,540
1435794,1,0,1,7,0,"F",0,87500,541
1435996,1,0,1,7,0,"F",1,112500,542
1436928,1,0,0,4,0,"F",1,112500,543
1437747,1,0,0,4,0,"F",1,137500,544
1437857,1,0,1,9,1,"M",1,62500,545
1437869,1,1,0,8,1,"F",1,187500,546
1437899,1,0,1,11,2,"F",1,137500,547
1438760,1,0,2,10,1,"F",1,137500,548
1438884,1,0,1,9,0,"M",1,87500,549
1439629,1,0,1,9,0,"F",1,7500,550
1439689,1,0,0,5,0,"F",1,112500,551
1439713,1,1,1,7,2,"F",1,62500,552
1440356,1,0,0,1,0,"M",1,250000,553
1441053,1,0,1,9,0,"M",1,30000,554
1441466,1,0,1,6,0,"F",1,250000,555
1442287,1,1,1,6,2,"F",0,187500,556
1442704,1,0,1,8,1,"F",1,87500,557
1443687,1,0,1,5,0,"F",0,87500,558
1443964,1,0,1,8,0,"F",1,250000,559
1444485,1,1,2,9,1,"F",1,112500,560
1445100,1,0,1,10,0,"F",1,87500,561
1446288,1,0,0,12,0,"F",0,62500,562
1447092,1,0,0,5,0,"M",1,42500,563
1447298,1,4,1,8,4,"F",1,62500,564
1448763,1,0,0,3,0,"F",0,62500,565
1448901,1,0,0,2,1,"F",0,62500,566
1449431,1,0,0,5,0,"F",1,137500,567
1450170,1,1,0,4,1,"F",0,62500,568
1450180,1,0,0,7,1,"M",1,62500,569
1450746,1,1,1,7,2,"F",1,7500,570
1450805,1,0,0,3.33333325386047,0,"M",1,225000,571
1450890,1,0,1,7,0,"F",1,225000,572
