"date","week_in_month","department","day","team","targeted_productivity","smv","over_time","incentive","idle_time","idle_men","no_of_style_change","no_of_workers","actual_productivity","wip_sewing","Y"
2015-01-03,"week_1",0,"Saturday","5",0.8,11.61,7080,50,0,0,0,32,0.800148649,659,1
2015-01-03,"week_1",0,"Saturday","6",0.8,25.9,6720,50,0,0,0,56,0.800125,1152,1
2015-01-03,"week_1",0,"Saturday","7",0.8,25.9,6720,38,0,0,0,56,0.800125,1138,1
2015-01-03,"week_1",0,"Saturday","10",0.75,19.31,6480,56,0,0,0,54,0.787299691,610,1
2015-01-03,"week_1",1,"Saturday","2",0.8,4.15,960,0,0,0,0,8,0.782447917,0,0
2015-01-03,"week_1",0,"Saturday","2",0.75,19.87,6600,45,0,0,0,55,0.75024303,944,1
2015-01-03,"week_1",1,"Saturday","10",0.7,4.15,960,0,0,0,0,8,0.7018125,0,1
2015-01-03,"week_1",0,"Saturday","4",0.7,23.69,13800,0,0,0,0,60,0.700134038,544,1
2015-01-03,"week_1",0,"Saturday","9",0.7,28.08,6900,40,0,0,0,58,0.699965217,1072,1
2015-01-03,"week_1",1,"Saturday","8",0.8,2.9,960,0,0,0,0,8,0.628333333,0,0
2015-01-03,"week_1",1,"Saturday","7",0.8,3.94,960,0,0,0,0,8,0.6253125,0,0
2015-01-04,"week_1",1,"Sunday","3",0.75,4.15,1560,0,0,0,0,8,0.991388889,0,1
2015-01-04,"week_1",1,"Sunday","9",0.8,3.94,960,0,0,0,0,8,0.931645833,0,1
2015-01-04,"week_1",1,"Sunday","1",0.8,3.94,960,0,0,0,0,8,0.915229167,0,1
2015-01-04,"week_1",0,"Sunday","6",0.8,11.61,6975,50,0,0,0,31,0.879714482,539,1
2015-01-04,"week_1",1,"Sunday","4",0.8,3.94,6600,0,0,0,0,20,0.861679012,0,1
2015-01-04,"week_1",0,"Sunday","9",0.8,26.16,7080,60,0,0,0,59,0.850569492,1278,1
2015-01-04,"week_1",0,"Sunday","7",0.8,25.9,7020,60,0,0,0,57,0.850436438,1227,1
2015-01-04,"week_1",0,"Sunday","8",0.8,25.9,6780,45,0,0,0,57,0.850345133,1039,1
2015-01-04,"week_1",0,"Sunday","4",0.8,28.08,4260,50,0,0,0,56,0.800598058,878,1
2015-01-04,"week_1",0,"Sunday","1",0.8,26.16,7080,63,0,0,0,59,0.800318644,1033,1
2015-01-04,"week_1",0,"Sunday","2",0.8,28.08,6660,50,0,0,0,56,0.800237838,782,1
2015-01-04,"week_1",0,"Sunday","12",0.8,11.61,6975,50,0,0,0,31,0.800030199,1216,1
2015-01-04,"week_1",1,"Sunday","2",0.8,3.94,960,0,0,0,0,8,0.792104167,0,0
2015-01-04,"week_1",1,"Sunday","10",0.7,3.94,4320,0,0,0,0,18,0.759228395,0,1
2015-01-04,"week_1",0,"Sunday","11",0.75,19.31,6480,45,0,0,0,54,0.750348457,513,1
2015-01-04,"week_1",0,"Sunday","3",0.75,19.87,6600,45,0,0,0,55,0.75024303,734,1
2015-01-04,"week_1",0,"Sunday","10",0.7,28.08,6900,40,0,0,0,58,0.699965217,1202,1
2015-01-04,"week_1",1,"Sunday","8",0.8,2.9,960,0,0,0,0,8,0.682708333,0,0
2015-01-04,"week_1",1,"Sunday","7",0.8,2.9,960,0,0,0,0,8,0.667604167,0,0
2015-01-04,"week_1",0,"Sunday","5",0.7,45.67,6960,26,0,0,0,58,0.603432184,884,0
2015-01-04,"week_1",1,"Sunday","11",0.75,4.15,960,0,0,0,0,8,0.345833333,0,0
2015-01-05,"week_1",1,"Monday","1",0.8,3.94,1920,0,0,0,0,8,0.961059028,0,1
2015-01-05,"week_1",1,"Monday","11",0.8,3.94,2400,0,0,0,0,10,0.939513889,0,1
2015-01-05,"week_1",1,"Monday","4",0.8,3.94,3840,0,0,0,0,16,0.893663194,0,1
2015-01-05,"week_1",1,"Monday","3",0.75,4.15,1920,0,0,0,0,8,0.875390625,0,1
2015-01-05,"week_1",0,"Monday","9",0.8,26.16,7080,75,0,0,0,59,0.850569492,1227,1
2015-01-05,"week_1",1,"Monday","9",0.8,2.9,1920,0,0,0,0,8,0.820833333,0,1
2015-01-05,"week_1",1,"Monday","2",0.8,3.94,960,0,0,0,0,8,0.804416667,0,1
2015-01-05,"week_1",0,"Monday","7",0.8,25.9,6780,50,0,0,0,57,0.800684366,1255,1
2015-01-05,"week_1",0,"Monday","8",0.8,25.9,6780,38,0,0,0,57,0.800684366,1047,1
2015-01-05,"week_1",0,"Monday","1",0.8,26.16,7080,63,0,0,0,59,0.800318644,1138,1
2015-01-05,"week_1",0,"Monday","11",0.8,19.31,4800,50,0,0,0,55,0.800250962,678,1
2015-01-05,"week_1",0,"Monday","6",0.8,11.61,7200,50,0,0,0,32,0.800246011,712,1
2015-01-05,"week_1",0,"Monday","12",0.8,11.61,7200,50,0,0,0,32,0.800246011,1037,1
2015-01-05,"week_1",0,"Monday","2",0.8,28.08,6900,50,0,0,0,58,0.800076522,757,1
2015-01-05,"week_1",0,"Monday","4",0.8,28.08,6900,50,0,0,0,58,0.800076522,759,1
2015-01-05,"week_1",1,"Monday","10",0.75,2.9,960,0,0,0,0,8,0.763375,0,1
2015-01-05,"week_1",1,"Monday","5",0.6,2.9,960,0,0,0,0,8,0.759270833,0,1
2015-01-05,"week_1",0,"Monday","10",0.75,28.08,7020,45,0,0,0,59,0.7504,1083,1
2015-01-05,"week_1",0,"Monday","3",0.75,19.87,6600,45,0,0,0,55,0.75024303,944,1
2015-01-05,"week_1",1,"Monday","7",0.8,3.94,960,0,0,0,0,8,0.676666667,0,0
2015-01-05,"week_1",1,"Monday","8",0.8,2.9,960,0,0,0,0,8,0.664583333,0,0
2015-01-05,"week_1",0,"Monday","5",0.6,21.98,6960,23,0,0,0,58,0.600028736,666,1
2015-01-06,"week_1",1,"Tuesday","4",0.8,3.94,4440,0,0,0,0,18,0.966781346,0,1
2015-01-06,"week_1",1,"Tuesday","1",0.8,3.94,1440,0,0,0,0,8,0.936496212,0,1
2015-01-06,"week_1",1,"Tuesday","3",0.75,4.15,1800,0,0,0,0,10,0.899166667,0,1
2015-01-06,"week_1",1,"Tuesday","11",0.8,4.15,2700,0,0,0,0,15,0.888686869,0,1
2015-01-06,"week_1",1,"Tuesday","9",0.8,3.94,1440,0,0,0,0,8,0.858143939,0,1
2015-01-06,"week_1",0,"Tuesday","1",0.8,26.16,10620,75,0,0,0,59,0.850502311,1187,1
2015-01-06,"week_1",0,"Tuesday","9",0.8,26.16,10620,75,0,0,0,59,0.850502311,1305,1
2015-01-06,"week_1",1,"Tuesday","10",0.75,3.94,1440,0,0,0,0,8,0.809640152,0,1
2015-01-06,"week_1",1,"Tuesday","2",0.8,3.94,1440,0,0,0,0,8,0.805909091,0,1
2015-01-06,"week_1",0,"Tuesday","2",0.8,28.08,10350,50,0,0,0,58,0.800594466,716,1
2015-01-06,"week_1",0,"Tuesday","4",0.8,28.08,10350,50,0,0,0,58,0.800594466,925,1
2015-01-06,"week_1",0,"Tuesday","3",0.8,19.87,9900,50,0,0,0,55,0.800273829,963,1
2015-01-06,"week_1",0,"Tuesday","12",0.8,11.61,5310,50,0,0,0,32,0.800140969,1101,1
2015-01-06,"week_1",0,"Tuesday","7",0.8,25.9,10170,38,0,0,0,57,0.800128721,1035,1
2015-01-06,"week_1",0,"Tuesday","8",0.8,25.9,10170,38,0,0,0,57,0.800128721,1083,1
2015-01-06,"week_1",0,"Tuesday","6",0.8,11.61,4470,38,0,0,0,32,0.80007657,910,1
2015-01-06,"week_1",0,"Tuesday","10",0.75,28.08,10530,45,0,0,0,59,0.750545455,1209,1
2015-01-06,"week_1",0,"Tuesday","11",0.75,19.31,9900,45,0,0,0,55,0.750057851,590,1
2015-01-06,"week_1",1,"Tuesday","8",0.8,2.9,1440,0,0,0,0,8,0.681060606,0,0
2015-01-06,"week_1",0,"Tuesday","5",0.65,21.98,10440,35,0,0,0,58,0.649983281,808,1
2015-01-06,"week_1",1,"Tuesday","7",0.8,2.9,1440,0,0,0,0,8,0.61625,0,0
2015-01-07,"week_1",1,"Wednesday","1",0.8,3.94,1440,0,0,0,0,8,0.951420455,0,1
2015-01-07,"week_1",1,"Wednesday","9",0.8,3.94,1440,0,0,0,0,8,0.880530303,0,1
2015-01-07,"week_1",0,"Wednesday","1",0.8,26.16,10620,75,0,0,0,59,0.850502311,1179,1
2015-01-07,"week_1",0,"Wednesday","9",0.8,26.16,10620,75,0,0,0,59,0.850502311,1324,1
2015-01-07,"week_1",0,"Wednesday","8",0.8,25.9,10170,60,0,0,0,57,0.850136766,1135,1
2015-01-07,"week_1",1,"Wednesday","3",0.75,4.15,2700,0,0,0,0,15,0.83,0,1
2015-01-07,"week_1",1,"Wednesday","4",0.8,3.94,4440,0,0,0,0,18,0.827186544,0,1
2015-01-07,"week_1",1,"Wednesday","2",0.8,3.94,1440,0,0,0,0,8,0.813371212,0,1
2015-01-07,"week_1",1,"Wednesday","10",0.75,3.94,1440,0,0,0,0,8,0.805909091,0,1
2015-01-07,"week_1",1,"Wednesday","7",0.8,2.9,1440,0,0,0,0,8,0.804640152,0,1
2015-01-07,"week_1",0,"Wednesday","2",0.8,28.08,10350,63,0,0,0,58,0.800594466,776,1
2015-01-07,"week_1",0,"Wednesday","4",0.8,28.08,10350,50,0,0,0,58,0.800594466,990,1
2015-01-07,"week_1",0,"Wednesday","6",0.8,11.41,5490,50,0,0,0,31,0.800343766,986,1
2015-01-07,"week_1",0,"Wednesday","3",0.8,19.87,9900,50,0,0,0,55,0.800273829,924,1
2015-01-07,"week_1",0,"Wednesday","12",0.8,11.61,5670,50,0,0,0,32,0.800246753,1120,1
2015-01-07,"week_1",0,"Wednesday","7",0.8,25.9,10170,50,0,0,0,57,0.800128721,1066,1
2015-01-07,"week_1",0,"Wednesday","10",0.75,28.08,10530,69,0,0,0,59,0.8,1144,1
2015-01-07,"week_1",0,"Wednesday","5",0.7,21.98,9720,40,0,0,0,58,0.700480831,413,1
2015-01-07,"week_1",1,"Wednesday","8",0.8,2.9,1440,0,0,0,0,8,0.681060606,0,0
2015-01-07,"week_1",1,"Wednesday","6",0.8,2.9,1800,0,0,0,0,10,0.666515152,0,0
2015-01-07,"week_1",0,"Wednesday","11",0.8,31.83,9900,40,0,0,0,55,0.412119835,568,0
2015-01-07,"week_1",1,"Wednesday","5",0.7,4.15,1440,0,0,0,0,8,0.330113636,0,0
2015-01-08,"week_2",1,"Thursday","1",0.8,3.94,1440,0,0,0,0,8,0.947689394,0,1
2015-01-08,"week_2",1,"Thursday","4",0.8,3.94,12600,0,0,0,0,20,0.919905405,0,1
2015-01-08,"week_2",0,"Thursday","9",0.8,26.16,10620,88,0,0,0,59,0.900215716,1216,1
2015-01-08,"week_2",1,"Thursday","9",0.8,3.94,1440,0,0,0,0,8,0.891723485,0,1
2015-01-08,"week_2",0,"Thursday","1",0.8,26.16,10620,75,0,0,0,59,0.850502311,1189,1
2015-01-08,"week_2",0,"Thursday","4",0.8,28.08,10530,75,0,0,0,59,0.850181818,942,1
2015-01-08,"week_2",0,"Thursday","7",0.8,25.9,10170,60,0,0,0,57,0.850136766,1050,1
2015-01-08,"week_2",0,"Thursday","8",0.8,25.9,10170,60,0,0,0,57,0.850136766,1026,1
2015-01-08,"week_2",1,"Thursday","2",0.8,3.94,1440,0,0,0,0,8,0.835757576,0,1
2015-01-08,"week_2",1,"Thursday","5",0.7,4.15,3840,0,0,0,0,8,0.821354167,0,1
2015-01-08,"week_2",0,"Thursday","2",0.8,28.08,10050,63,0,0,0,59,0.800497246,783,1
2015-01-08,"week_2",0,"Thursday","3",0.8,19.87,9900,50,0,0,0,55,0.800273829,857,1
2015-01-08,"week_2",0,"Thursday","12",0.8,11.61,15120,63,0,0,0,32,0.800107143,548,1
2015-01-08,"week_2",0,"Thursday","6",0.8,11.41,14640,50,0,0,0,31,0.800024932,411,1
2015-01-08,"week_2",0,"Thursday","10",0.75,28.08,10530,69,0,0,0,59,0.8,1066,1
2015-01-08,"week_2",1,"Thursday","10",0.75,3.94,1440,0,0,0,0,8,0.779791667,0,1
2015-01-08,"week_2",1,"Thursday","8",0.8,2.9,1440,0,0,0,0,8,0.735984848,0,0
2015-01-08,"week_2",1,"Thursday","3",0.75,4.15,2160,0,0,0,0,12,0.712626263,0,0
2015-01-08,"week_2",1,"Thursday","7",0.8,2.9,1440,0,0,0,0,8,0.681060606,0,0
2015-01-08,"week_2",1,"Thursday","11",0.8,4.15,900,0,0,0,0,5,0.515606061,0,0
2015-01-08,"week_2",0,"Thursday","11",0.35,12.52,25920,38,0,0,0,54,0.349951389,287,1
2015-01-08,"week_2",0,"Thursday","5",0.7,42.41,10260,0,0,0,0,57,0.233705476,724,0
2015-01-10,"week_2",1,"Saturday","1",0.8,3.94,2160,0,0,0,0,8,0.985,0,1
2015-01-10,"week_2",1,"Saturday","3",0.75,4.15,2760,0,0,0,0,12,0.930340376,0,1
2015-01-10,"week_2",1,"Saturday","4",0.8,3.94,6000,0,0,0,0,20,0.911589744,0,1
2015-01-10,"week_2",1,"Saturday","9",0.8,3.94,1440,0,0,0,0,8,0.858143939,0,1
2015-01-10,"week_2",0,"Saturday","9",0.8,26.16,10620,75,0,0,0,59,0.851174114,1122,1
2015-01-10,"week_2",0,"Saturday","7",0.8,25.9,10170,60,0,0,0,57,0.850136766,970,1
2015-01-10,"week_2",0,"Saturday","8",0.8,25.9,10170,60,0,0,0,57,0.850136766,1158,1
2015-01-10,"week_2",1,"Saturday","10",0.8,3.94,1440,0,0,0,0,8,0.846950758,0,1
2015-01-10,"week_2",1,"Saturday","11",0.8,4.15,1440,0,0,0,0,8,0.817424242,0,1
2015-01-10,"week_2",1,"Saturday","2",0.8,3.94,1440,0,0,0,0,8,0.817102273,0,1
2015-01-10,"week_2",0,"Saturday","4",0.8,28.08,10440,63,0,0,0,58,0.801028213,660,1
2015-01-10,"week_2",0,"Saturday","2",0.8,28.08,10350,63,0,0,0,58,0.800594466,749,1
2015-01-10,"week_2",0,"Saturday","12",0.8,11.61,4710,50,0,0,0,32,0.800346445,893,1
2015-01-10,"week_2",0,"Saturday","6",0.8,11.41,5490,50,0,0,0,31,0.800343766,887,1
2015-01-10,"week_2",0,"Saturday","1",0.8,26.16,10620,63,0,0,0,59,0.800117103,1335,1
2015-01-10,"week_2",0,"Saturday","10",0.8,28.08,10530,63,0,0,0,59,0.8,1082,1
2015-01-10,"week_2",0,"Saturday","3",0.75,19.87,7080,45,0,0,0,56,0.750098351,1075,1
2015-01-10,"week_2",0,"Saturday","11",0.5,12.52,9540,38,0,0,0,53,0.673245283,749,1
2015-01-10,"week_2",1,"Saturday","7",0.8,2.9,1440,0,0,0,0,8,0.670075758,0,0
2015-01-10,"week_2",1,"Saturday","8",0.8,2.9,1440,0,0,0,0,8,0.628882576,0,0
2015-01-10,"week_2",0,"Saturday","5",0.5,20.79,7680,0,0,0,0,56,0.388007813,966,0
2015-01-10,"week_2",1,"Saturday","5",0.5,4.15,1440,0,0,0,0,8,0.337973485,0,0
2015-01-11,"week_2",1,"Sunday","3",0.75,4.15,1440,0,0,0,0,8,0.93532197,0,1
2015-01-11,"week_2",1,"Sunday","4",0.8,3.94,3600,0,0,0,0,20,0.925643939,0,1
2015-01-11,"week_2",0,"Sunday","9",0.8,26.16,10620,88,0,0,0,59,0.900215716,1095,1
2015-01-11,"week_2",1,"Sunday","1",0.8,3.94,1440,0,0,0,0,8,0.873068182,0,1
2015-01-11,"week_2",1,"Sunday","9",0.8,3.94,1440,0,0,0,0,8,0.858143939,0,1
2015-01-11,"week_2",0,"Sunday","1",0.8,26.16,10620,75,0,0,0,59,0.850502311,1383,1
2015-01-11,"week_2",0,"Sunday","7",0.8,25.9,10170,45,0,0,0,57,0.850136766,1012,1
2015-01-11,"week_2",0,"Sunday","8",0.8,25.9,10170,60,0,0,0,57,0.850136766,1209,1
2015-01-11,"week_2",1,"Sunday","10",0.8,3.94,1440,0,0,0,0,8,0.828295455,0,1
2015-01-11,"week_2",1,"Sunday","2",0.8,3.94,1440,0,0,0,0,8,0.820833333,0,1
2015-01-11,"week_2",0,"Sunday","6",0.8,11.41,5490,50,0,0,0,31,0.800343766,887,1
2015-01-11,"week_2",0,"Sunday","12",0.8,11.61,5670,50,0,0,0,32,0.800246753,896,1
2015-01-11,"week_2",0,"Sunday","2",0.8,28.08,10530,63,0,0,0,59,0.8,805,1
2015-01-11,"week_2",0,"Sunday","10",0.8,28.08,10530,38,0,0,0,59,0.8,762,1
2015-01-11,"week_2",0,"Sunday","3",0.8,19.87,6420,0,0,0,0,55,0.690182815,1043,0
2015-01-11,"week_2",1,"Sunday","11",0.8,4.15,1440,0,0,0,0,8,0.668087121,0,0
2015-01-11,"week_2",1,"Sunday","8",0.8,2.9,1440,0,0,0,0,8,0.653598485,0,0
2015-01-11,"week_2",1,"Sunday","5",0.5,4.15,1440,0,0,0,0,8,0.609138258,0,1
2015-01-11,"week_2",0,"Sunday","11",0.6,12.52,9540,30,0,0,0,53,0.600229846,831,1
2015-01-11,"week_2",1,"Sunday","6",0.8,2.9,1440,0,0,0,0,8,0.597348485,0,0
2015-01-11,"week_2",1,"Sunday","7",0.8,2.9,1440,0,0,0,0,8,0.590435606,0,0
2015-01-11,"week_2",0,"Sunday","4",0.8,50.48,10440,0,0,0,0,58,0.473134796,562,0
2015-01-11,"week_2",0,"Sunday","5",0.6,20.79,7980,0,0,0,0,57,0.452979626,1208,0
2015-01-12,"week_2",1,"Monday","1",0.8,3.94,1440,0,0,0,0,8,0.955151515,0,1
2015-01-12,"week_2",1,"Monday","4",0.35,4.3,3240,0,0,0,0,18,0.942213805,0,1
2015-01-12,"week_2",1,"Monday","3",0.8,4.15,1800,0,0,0,0,10,0.905454545,0,1
2015-01-12,"week_2",1,"Monday","2",0.8,3.94,1440,0,0,0,0,8,0.880530303,0,1
2015-01-12,"week_2",1,"Monday","9",0.8,3.94,1440,0,0,0,0,8,0.858143939,0,1
2015-01-12,"week_2",0,"Monday","1",0.8,26.16,8220,75,0,0,0,59,0.850522167,1099,1
2015-01-12,"week_2",0,"Monday","9",0.8,26.16,10620,75,0,0,0,59,0.850502311,1093,1
2015-01-12,"week_2",0,"Monday","7",0.8,25.9,10170,60,0,0,0,57,0.850136766,1031,1
2015-01-12,"week_2",0,"Monday","8",0.8,25.9,10170,60,0,0,0,57,0.850136766,1233,1
2015-01-12,"week_2",1,"Monday","6",0.8,2.9,1440,0,0,0,0,8,0.817424242,0,1
2015-01-12,"week_2",1,"Monday","5",0.65,4.15,1440,0,0,0,0,8,0.809564394,0,1
2015-01-12,"week_2",0,"Monday","3",0.8,19.87,9900,0,0,0,0,55,0.800273829,941,1
2015-01-12,"week_2",0,"Monday","6",0.8,11.41,5670,50,0,0,0,32,0.800181818,843,1
2015-01-12,"week_2",0,"Monday","12",0.8,11.61,4470,50,0,0,0,32,0.80007657,760,1
2015-01-12,"week_2",0,"Monday","2",0.8,28.08,10530,63,0,0,0,59,0.8,737,1
2015-01-12,"week_2",1,"Monday","8",0.8,2.9,1440,0,0,0,0,8,0.725,0,0
2015-01-12,"week_2",0,"Monday","10",0.8,50.48,6930,45,0,0,0,59,0.688557555,381,0
2015-01-12,"week_2",0,"Monday","5",0.65,20.79,8460,0,0,0,0,59,0.650040783,1141,1
2015-01-12,"week_2",0,"Monday","11",0.65,12.52,9540,44,0,0,0,53,0.64998056,1004,1
2015-01-12,"week_2",1,"Monday","7",0.8,2.9,1440,0,0,0,0,8,0.648106061,0,0
2015-01-12,"week_2",1,"Monday","11",0.8,4.15,1440,0,0,0,0,8,0.640577652,0,0
2015-01-12,"week_2",0,"Monday","4",0.35,22.4,7350,0,0,0,0,52,0.35063299,581,1
2015-01-12,"week_2",1,"Monday","10",0.8,3.94,1440,0,0,0,0,8,0.24625,0,0
2015-01-13,"week_2",1,"Tuesday","4",0.35,4.3,2160,0,0,0,0,12,0.952020202,0,1
2015-01-13,"week_2",1,"Tuesday","1",0.8,3.94,1440,0,0,0,0,2,0.951420455,0,1
2015-01-13,"week_2",1,"Tuesday","10",0.8,3.94,5400,0,0,0,0,20,0.912766667,0,1
2015-01-13,"week_2",1,"Tuesday","3",0.8,4.15,1620,0,0,0,0,9,0.901262626,0,1
2015-01-13,"week_2",1,"Tuesday","9",0.8,3.94,1440,0,0,0,0,8,0.858143939,0,1
2015-01-13,"week_2",0,"Tuesday","1",0.8,26.16,10620,75,0,0,0,59,0.850502311,1073,1
2015-01-13,"week_2",0,"Tuesday","9",0.8,26.16,10620,75,0,0,0,59,0.850502311,1156,1
2015-01-13,"week_2",0,"Tuesday","8",0.8,25.9,10260,60,0,0,0,57,0.850252525,1211,1
2015-01-13,"week_2",0,"Tuesday","7",0.8,25.9,10170,60,0,0,0,57,0.850136766,1126,1
2015-01-13,"week_2",1,"Tuesday","5",0.65,4.15,1440,0,0,0,0,8,0.821354167,0,1
2015-01-13,"week_2",1,"Tuesday","2",0.8,3.94,1440,0,0,0,0,8,0.805909091,0,1
2015-01-13,"week_2",0,"Tuesday","6",0.8,11.61,5670,50,0,0,0,32,0.800246753,1004,1
2015-01-13,"week_2",0,"Tuesday","12",0.8,11.61,5670,50,0,0,0,32,0.800246753,1063,1
2015-01-13,"week_2",0,"Tuesday","2",0.8,28.08,10530,50,0,0,0,59,0.8,723,1
2015-01-13,"week_2",0,"Tuesday","3",0.8,42.27,9900,54,0,0,0,55,0.705576584,465,0
2015-01-13,"week_2",1,"Tuesday","8",0.8,2.9,1440,0,0,0,0,8,0.681060606,0,0
2015-01-13,"week_2",1,"Tuesday","7",0.8,2.9,1440,0,0,0,0,8,0.670075758,0,0
2015-01-13,"week_2",1,"Tuesday","11",0.8,4.15,1440,0,0,0,0,8,0.601278409,0,0
2015-01-13,"week_2",0,"Tuesday","11",0.7,27.13,9540,37,0,0,0,53,0.582301029,530,0
2015-01-13,"week_2",0,"Tuesday","5",0.7,20.79,10440,0,0,0,0,58,0.526810345,1297,0
2015-01-13,"week_2",0,"Tuesday","4",0.5,22.4,10170,23,0,0,0,57,0.500380799,783,1
2015-01-13,"week_2",0,"Tuesday","10",0.35,22.4,10170,23,0,0,0,57,0.35020649,715,1
2015-01-14,"week_2",1,"Wednesday","11",0.8,4.15,1980,0,0,0,0,7,0.934607438,0,1
2015-01-14,"week_2",1,"Wednesday","4",0.35,4.3,2700,0,0,0,0,8,0.908080808,0,1
2015-01-14,"week_2",0,"Wednesday","7",0.8,25.9,10170,70,0,0,0,57,0.900144811,1150,1
2015-01-14,"week_2",1,"Wednesday","1",0.8,3.94,1440,0,0,0,0,8,0.891723485,0,1
2015-01-14,"week_2",1,"Wednesday","5",0.65,4.15,1440,0,0,0,0,15,0.864583333,0,1
2015-01-14,"week_2",1,"Wednesday","9",0.8,3.94,1440,0,0,0,0,8,0.858143939,0,1
2015-01-14,"week_2",0,"Wednesday","9",0.8,26.16,10620,75,0,0,0,59,0.850502311,1232,1
2015-01-14,"week_2",0,"Wednesday","8",0.8,25.9,10170,60,0,0,0,57,0.850136766,1218,1
2015-01-14,"week_2",1,"Wednesday","7",0.8,2.9,1440,0,0,0,0,8,0.837594697,0,1
2015-01-14,"week_2",1,"Wednesday","3",0.8,4.15,1440,0,0,0,0,7,0.820833333,0,1
2015-01-14,"week_2",0,"Wednesday","12",0.8,11.61,2970,50,0,0,0,32,0.800313433,1159,1
2015-01-14,"week_2",0,"Wednesday","6",0.8,11.61,5670,38,0,0,0,32,0.800246753,972,1
2015-01-14,"week_2",0,"Wednesday","1",0.8,26.16,10620,63,0,0,0,59,0.800117103,1092,1
2015-01-14,"week_2",0,"Wednesday","5",0.7,20.79,7320,0,0,0,0,58,0.700095563,965,1
2015-01-14,"week_2",1,"Wednesday","8",0.8,2.9,1440,0,0,0,0,8,0.667329545,0,0
2015-01-14,"week_2",0,"Wednesday","4",0.6,22.4,5100,23,0,0,0,57,0.600369686,816,1
2015-01-14,"week_2",0,"Wednesday","10",0.5,22.4,3390,23,0,0,0,57,0.499980334,947,1
2015-01-14,"week_2",0,"Wednesday","11",0.35,14.61,7200,23,0,0,0,55,0.35003125,838,1
2015-01-14,"week_2",1,"Wednesday","10",0.8,3.94,1260,0,0,0,0,8,0.332359307,0,0
2015-01-14,"week_2",0,"Wednesday","2",0.8,51.02,4260,27,0,0,0,57,0.311207464,1086,0
2015-01-14,"week_2",1,"Wednesday","2",0.8,3.94,1260,0,0,0,0,8,0.247316017,0,0
2015-01-15,"week_3",1,"Thursday","4",0.35,4.3,3600,0,0,0,0,20,0.988636364,0,1
